Número provisional DEA;Tipo de establecimiento;Titularidad del local;Uso del local;Titularidad;Propuesta de denominación;Tipo de vía;Nombre de la vía;Número de la vía;Complemento de dirección;Código postal;Distrito;Coordenadas-Latitud (norte);Coordenadas-Longitud (oeste, por lo tanto, negativa)
;Otro establecimiento administración pública;Pública;Público;;Casa cordoba;Ronda;De las provincias;6;Casa cordoba;28011;9. Moncloa;40,41184;-3,74238
;Otro establecimiento administración pública;Pública;Público;;Base 0 SAMUR-PC;Ronda;De las provincias ;7;Entrada Base 0 SAMUR-PC;28011;9. Moncloa;40,4119;-3,74307
10576;Transportes-Metro;Pública;Público;;Metro Lago;Paseo;Puerta del Ángel;9;Acceso Metro Lago;28011;9. Moncloa;40,4164967;-3,7345432
838;Centro educativo;Privada;Público;;Centro Formación Profesional Metrodora;Paseo;Extremadura;33;Primer piso;28011;9. Moncloa;40,4133868;-3,7287262
837;Transportes-Metro;Pública;Público;;Metro Alto de Extremadura ;Paseo;Extremadura;156;;28011;9. Moncloa;40,4098478;-3,7388401
;Otro establecimiento administración pública;Pública;Público;;Centro Municipal de Salud Latina;Paseo;Extremadura;147;Centro de Salud;28011;9. Moncloa;40,4096541;-3,739169
;Otro establecimiento administración pública;Pública;Público;;Centro de especialidades Avda de Portugal;Avenida;Portugal;155;;28011;9. Moncloa;40,411138;-3,7381162
660;Centro educativo;Privada;Público;;Colegio Lourdes Fuhem;Calle;San Roberto;8 duplicado;;28011;10. Latina;40,402996;-3,7595018
662;Centro educativo;Privada;Público;;Colegio Lourdes polideportivo;Calle;San Roberto;8;;28011;10. Latina;40,4037822;-3,7590495
661;Centro educativo;Privada;Público;;Colegio Lourdes círculos;Calle;San Juan de mata ;S/n;;28011;10. Latina;40,4032531;-3,7578851
10571;Transportes-Metro;Pública;Público;;Metro casa de Campo;Camino;Camino de Campanento;S/n ;Puerta de Batán ;28011;10. Latina;40,40312;-3,76081
1028;Centro educativo;Privada;Público;;Colegio María Cristina;Calle;Antillón;6;;28011;10. Latina;40,4129135;-3,7282052
;Centro educativo;Privada;Público;;Colegio San Miguel Arcángel;Calle;Repullés y Vargas;8;;28011;10. Latina;40,4103707;-3,7345291
3038;Centro educativo;Privada;Público;;Polideportivo Colegio San Miguel Arcangel;Calle;Cabello Lapiedra;4;;28011;10. Latina;40,4105136;-3,7335679
5927;Centro educativo;Privada;Público;;Colegio Cristo Rey;Calle;Santa Ursula;5;;28011;10. Latina;40,4125196;-3,7304213
6228;Centro educativo;Privada;Público;;Centro de Formación Profesional José Ramón Otero;Calle;Francisco Brizuela;3;;28011;10. Latina;40,4095905;-3,7387928
9211;Centro educativo;Pública;Público;;iES El Lago;Paseo;Puerta del Ángel ;S/N;;28011;10. Latina;40,4158333;-3,73249
9593;Centro educativo;Pública;Público;;Escuela superior de hostelería y turismo;Paseo;Puerta del Ángel;5;;28011;10. Latina;40,4157383;-3,7322657
;Centro de trabajo (no administración pública);Privada;Privado;;Ascensores BOSA;Calle;Timoteo Domingo;21;;28017;15. Ciudad Lineal;40,4332057;-3,644761
29;Centro educativo;Privada;Privado;;Colegio Liceo Maradiaga;Calle;Francisco Maradiaga;26;;28017;15. Ciudad Lineal;40,43525364;-3,640696198
5654;Centro educativo;Pública;Público;;Colegio JOYFE VITAL AZA;Calle;Vital Aza ;65;;28017;15. Ciudad Lineal;40,43330648;-3,639286512
10600;Transportes-Metro;Pública;Público;;Metro Ciudad Lineal, acceso Garcia Noblejas;Calle;De los Hermanos Garcia Noblejas ;2;;28017;15. Ciudad Lineal;40,437588;-3,638051
2725;Centro educativo;Privada;Privado;;Colegio Salesianos-Santo Domingo Savio;Calle;Santo Domingo Savio ;2;;28017;15. Ciudad Lineal;40,43038828;-3,634248398
10036;Centro educativo;Pública;Público;;Instituto Miguel Delibes;Calle;Villaescusa ;17;;28017;15. Ciudad Lineal;40,42213343;-3,631424274
9991;Centro educativo;Pública;Público;;IES Barrio de Bilbao;Calle;Villaescusa;19;;28017;15. Ciudad Lineal;40,42111826;-3,630660967
7469;Centro educativo;Privada;Privado;;Escuela Infantil Alfredo Lopez;Calle;Villaescusa;50;;28017;15. Ciudad Lineal;40,4207138;-3,6302378
10603;Transportes-Metro;Pública;Público;;Metro La Almudena, acceso único ;Calle;Arriaga;75;;28017;15. Ciudad Lineal;40,423681;-3,6393516
10599;Transportes-Metro;Pública;Público;;Metro La Elipa, acceso único ;Calle;Del Marqués de Corbera ;56;;28017;15. Ciudad Lineal;40,426426;-3,650806
4675;Centro educativo;Privada;Privado;;Colegio Nuestra Señora de las Victorias ;Calle;Del Apóstol Santiago ;72;;28017;15. Ciudad Lineal;40,42887032;-3,654440647
7470;Transportes-Metro;Pública;Público;Metro Batán;Metro Batán;Calle;Villamanín;27;;28011;10. Latina;40,4075346;-3,752684
9787;Centro educativo;Pública;Público;Colegio Bolivia;Colegio Bolivia;Calle;Villavaliente;29;;28011;10. Latina;40,4076168;-3,7497151
3200;Viviendas;Privada;Privado;Comunidad de propietarios;Comunidad propietarios Alverja, 5;Calle;Alverja;5;;28011;10. Latina;40,4028888;-3,7538313
3201;Viviendas;Privada;Privado;Comunidad de propietarios ;Comunidad de propietarios Alverja 5;Calle;Alverja;5;;28011;10. Latina;40,4028888;-3,7538313
5365;Transportes-Metro;Pública;Público;Metro Lucero;Metro Lucero;Calle;Cebreros;0;;28011;10. Latina;40,404844;-3,7455909
5759;Centro deportivo;Pública;Público;Centro deportivo municipal El Olivillo;Centro deportivo municipal El Olivillo;Calle;Olivillo;4;;28011;10. Latina;40,4065127;-3,745839
835;Centro educativo;Privada;Público;Divino Maestro;Divino Maestro;Calle;Paseo de Extremadura ;165;;28011;10. Latina;40,4081261;-3,7430428
9901;Centro educativo;Pública;Público;IES Eijo y Garay;IES Eijo y Garay;Calle;Severino Aznar Embid;6;;28011;10. Latina;40,4079806;-3,7385893
9954;Centro educativo;Pública;Público;Ceip joaquín Dicenta;Ceip joaquín Dicenta;Paseo;Olivos;70;;28011;10. Latina;40,4056033;-3,738244
;Centro deportivo;Pública;Público;Paidesport;Paidesport;Calle;Sepúlveda;3;;28011;10. Latina;40,4069617;-3,7261626
4036;Centro deportivo;Pública;Público;Paidesport;Paidesport;Calle;Sepúlveda;3;;28011;10. Latina;40,369617;-3,7261626
7939;Centro educativo;Privada;Público;Colegio San Bernardo;Colegio San Bernardo;Avenida;Manzanares;20;;28011;10. Latina;40,4079982;-3,7230734
25;Otro establecimiento administración pública;Pública;Público;CIEC Centro de innovación en economía de Madrid ;CIEC;Calle;Prat;59;;28032;19. Vicálvaro;40,4004454;-3,6069542
10088;Centro educativo;Pública;Público;Centro de educación para adultos ;CEPA Vicálvaro ;Calle;Lago Como;4;;28032;19. Vicálvaro;40,4011554;-3,6067175
;Otro establecimiento administración pública;Pública;Público;Junta Municipal Ayuntamiento de Vicálvaro ;Junta Municipal ;Plaza;Don Antonio de Andrés ;18;;28032;19. Vicálvaro;40,402416;-3,605885
1377;Otro;Pública;Público;Centro de día Carmen Conde 2;Centro de dia Carmen Conde;Calle;Ave María ;6;Esquina calle de la Cabeza;28012;1. Centro;40,411967;-3,700397
9972;Centro educativo;Pública;Público;Colegio público Alfonso X El Sabio;Colegio público Alfonso X El Sabio;Calle;Fuente de San Pedro;6;;28032;19. Vicálvaro;40,4033516;-3,6035977
6727;Centro educativo;Pública;Público;Colegio público El Cid;Colegio público El Cid;Calle;Lago Leman;5;;28032;19. Vicálvaro;40,4036251;-3,6055139
1840;Hotel, hostal, alojamiento;Privada;Privado;Hotel ;SLEEP'N ATOCHA;Calle;Doctor Drumen;4;;28012;1. Centro;40,409081;-3,693087
2174;Transportes-Metro;Pública;Público;Metro Madrid ;Estación metro San Cipriano ;Calle;San Cipriano ;44;Vestíbulo ;28032;19. Vicálvaro;40,4038175;-3,6040399
3653;Centro educativo;Pública;Público;Real conservatorio;Real conservatorio superior;Calle;Doctor de mata ;2;En la plaza;28012;1. Centro;40,409183;-3,694227
3750;Otro establecimiento administración pública;Pública;Público;Centro polivalente ;Centro social polivalente ;Avenida;Real ;dic-14;;28032;19. Vicálvaro;40,4025089;-3,6070229
;Centro educativo;Pública;Público;Real conservatorio superior;Real conservatorio superior;Calle;Doctor mata;2;Plaza museo Reina Sofía ;28012;1. Centro;40,409183;-3,694227
;Centro educativo;Pública;Público;Real conservatorio superior ;Conservatorio superior ;Calle;Doctor Mata;2;2a Planta;28012;1. Centro;40,409183;-3,64227
3098;Centro deportivo;Privada;Privado;Centro deportivo Miami Fit;Centro deportivo Miami Fit;Calle;Lago Titicaca;8;;28032;19. Vicálvaro;40,4023899;-3,6085632
5602;Otro;Pública;Público;Instituto Nacional de Administración Pública ;Instituto nacional de administración pública ;Calle;Atocha;Atocha 106;Centro médico planta sotano;28012;1. Centro;40,409479;-3,694788
